82.81	82.81	100
82.82	82.82	100
82.83	82.83	100
82.84	82.84	100
82.85	82.85	100
82.86	82.86	100
82.87	82.87	100
82.88	82.88	100
82.89	82.89	100
82.9	82.9	100
82.91	82.91	100
82.92	82.92	100
82.93	82.93	100
82.94	82.94	100
82.95	82.95	100
82.96	82.96	100
82.97	82.97	100
82.98	82.98	100
82.99	82.99	100
83	83	100
83.01	83.01	100
83.02	83.02	100
83.03	83.03	100
83.04	83.04	100
83.05	83.05	100
83.06	83.06	100
83.07	83.07	100
83.08	83.08	100
83.09	83.09	100
83.1	83.1	100
83.11	83.11	100
83.12	83.12	100
83.13	83.13	100
83.14	83.14	100
83.15	83.15	100
83.16	83.16	100
83.17	83.17	100
83.18	83.18	100
83.19	83.19	100
83.2	83.2	100
83.21	83.21	100
83.22	83.22	100
83.23	83.23	100
83.24	83.24	100
83.25	83.25	100
83.26	83.26	100
83.27	83.27	100
83.28	83.28	100
83.29	83.29	100
83.3	83.3	100
83.31	83.31	100
83.32	83.32	100
83.33	83.33	100
83.34	83.34	100
83.35	83.35	100
83.36	83.36	100
83.37	83.37	100
83.38	83.38	100
83.39	83.39	100
83.4	83.4	100
83.41	83.41	100
83.42	83.42	100
83.43	83.43	100
83.44	83.44	100
83.45	83.45	100
83.46	83.46	100
83.47	83.47	100
83.48	83.48	100
83.49	83.49	100
83.5	83.5	100
83.51	83.51	100
83.52	83.52	100
83.53	83.53	100
83.54	83.54	100
83.55	83.55	100
83.56	83.56	100
83.57	83.57	100
83.58	83.58	100
83.59	83.59	100
83.6	83.6	100
83.61	83.61	100
83.62	83.62	100
83.63	83.63	100
83.64	83.64	100
83.65	83.65	100
83.66	83.66	100
83.67	83.67	100
83.68	83.68	100
83.69	83.69	100
83.7	83.7	100
83.71	83.71	100
83.72	83.72	100
83.73	83.73	100
83.74	83.74	100
83.75	83.75	100
83.76	83.76	100
83.77	83.77	100
83.78	83.78	100
83.79	83.79	100
83.8	83.8	100
83.81	83.81	100
83.82	83.82	100
83.83	83.83	100
83.84	83.84	100
83.85	83.85	100
83.86	83.86	100
83.87	83.87	100
83.88	83.88	100
83.89	83.89	100
83.9	83.9	100
83.91	83.91	100
83.92	83.92	100
83.93	83.93	100
83.94	83.94	100
83.95	83.95	100
83.96	83.96	100
83.97	83.97	100
83.98	83.98	100
83.99	83.99	100
84	84	100
84.01	84.01	100
84.02	84.02	100
84.03	84.03	100
84.04	84.04	100
84.05	84.05	100
84.06	84.06	100
84.07	84.07	100
84.08	84.08	100
84.09	84.09	100
84.1	84.1	100
84.11	84.11	100
84.12	84.12	100
84.13	84.13	100
84.14	84.14	100
84.15	84.15	100
84.16	84.16	100
84.17	84.17	100
84.18	84.18	100
84.19	84.19	100
84.2	84.2	100
84.21	84.21	100
84.22	84.22	100
84.23	84.23	100
84.24	84.24	100
84.25	84.25	100
84.26	84.26	100
84.27	84.27	100
84.28	84.28	100
84.29	84.29	100
84.3	84.3	100
84.31	84.31	100
84.32	84.32	100
84.33	84.33	100
84.34	84.34	100
84.35	84.35	100
84.36	84.36	100
84.37	84.37	100
84.38	84.38	100
84.39	84.39	100
84.4	84.4	100
84.41	84.41	100
84.42	84.42	100
84.43	84.43	100
84.44	84.44	100
84.45	84.45	100
84.46	84.46	100
84.47	84.47	100
84.48	84.48	100
84.49	84.49	100
84.5	84.5	100
84.51	84.51	100
84.52	84.52	100
84.53	84.53	100
84.54	84.54	100
84.55	84.55	100
84.56	84.56	100
84.57	84.57	100
84.58	84.58	100
84.59	84.59	100
84.6	84.6	100
84.61	84.61	100
84.62	84.62	100
84.63	84.63	100
84.64	84.64	100
