x0000,y0000,x0001,y0001
620.224,10.755663,620.224,10.7617282,
624.18,10.7539522,624.18,10.7624008,
628.136,10.7552736,628.136,10.7631298,
632.092,10.753488,632.092,10.762225,
636.048,10.7532298,636.048,10.7631016,
640.004,10.753759,640.004,10.7612084,
643.96,10.755758,643.96,10.7616156,
647.916,10.7567992,647.916,10.7621318,
651.872,10.7553654,651.872,10.7642338,
655.828,10.754018,655.828,10.7647182,
659.784,10.7562812,659.784,10.76717,
663.74,10.7533662,663.74,10.7638956,
667.696,10.7564552,667.696,10.7657958,
671.652,10.7544842,671.652,10.7628208,
675.608,10.7577386,675.608,10.7667948,
679.564,10.7548728,679.564,10.7648258,
683.52,10.7572202,683.52,10.7653728,
687.476,10.7590904,687.476,10.76678,
691.432,10.7595862,691.432,10.7676664,
695.388,10.7584478,695.388,10.7647584,
699.344,10.7611006,699.344,10.7667324,
703.3,10.7585948,703.3,10.7654364,
707.256,10.7631416,707.256,10.7691736,
711.212,10.7602532,711.212,10.7657074,
715.168,10.7589866,715.168,10.7661962,
719.124,10.7625054,719.124,10.7676494,
723.08,10.76242,723.08,10.7679322,
727.036,10.762466,727.036,10.7686348,
730.992,10.7617808,730.992,10.7693076,
734.948,10.762613,734.948,10.7674284,
738.904,10.7633022,738.904,10.7676724,
742.86,10.7680596,742.86,10.769523,
746.816,10.7639844,746.816,10.7715562,
750.772,10.7653874,750.772,10.7688246,
754.728,10.7657148,754.728,10.7710808,
758.684,10.7662048,758.684,10.770699,
762.64,10.7652946,762.64,10.7698226,
766.596,10.7666048,766.596,10.7693634,
770.552,10.7658744,770.552,10.7712736,
774.508,10.7645068,774.508,10.76895,
778.464,10.7644174,778.464,10.7678688,
782.42,10.7681516,782.42,10.7686484,
786.376,10.7673386,786.376,10.7729828,
790.332,10.7683904,790.332,10.7712026,
794.288,10.7658686,794.288,10.7697668,
798.244,10.766543,798.244,10.771448,
802.2,10.7683366,802.2,10.7682744,
806.156,10.767437,806.156,10.7725792,
810.112,10.7687142,810.112,10.770685,
814.068,10.7678288,814.068,10.7697352,
818.024,10.7696934,818.024,10.7713902,
821.98,10.7688832,821.98,10.7698624,
825.936,10.7698406,825.936,10.7713848,
829.892,10.767777,829.892,10.7687976,
833.848,10.7689758,833.848,10.7733914,
837.804,10.7693992,837.804,10.7735852,
841.76,10.7735878,841.76,10.7707194,
845.716,10.7653348,845.716,10.7710944,
849.672,10.7683206,849.672,10.7726364,
853.628,10.7693368,853.628,10.7729506,
857.584,10.7689684,857.584,10.7718576,
861.54,10.7696912,861.54,10.7744712,
865.496,10.7723274,865.496,10.7704622,
869.452,10.77314,869.452,10.7727772,
873.408,10.7694362,873.408,10.7700152,
877.364,10.7711562,877.364,10.7729852,
881.32,10.7696948,881.32,10.7741064,
885.276,10.768965,885.276,10.7707356,
889.232,10.7692988,889.232,10.7690864,
893.188,10.7695396,893.188,10.7731784,
897.144,10.7723184,897.144,10.7742898,
901.1,10.7669594,901.1,10.7702194,
905.056,10.772874,905.056,10.7714756,
909.012,10.7708332,909.012,10.7731446,
912.968,10.7717186,912.968,10.7700832,
916.924,10.7710144,916.924,10.773344,
920.88,10.7696078,920.88,10.774775,
924.836,10.7692126,924.836,10.7749188,
928.792,10.7703664,928.792,10.772261,
932.748,10.7706506,932.748,10.7763692,
936.704,10.7706764,936.704,10.7755912,
940.66,10.7702466,940.66,10.7752036,
944.616,10.7702786,944.616,10.7755372,
948.572,10.7707356,948.572,10.7752796,
952.528,10.7702154,952.528,10.7757434,
956.484,10.7718412,956.484,10.7756398,
960.44,10.770329,960.44,10.77372,
964.396,10.769704,964.396,10.7750962,
968.352,10.7732352,968.352,10.77388,
972.308,10.7716446,972.308,10.7753858,
976.264,10.7707044,976.264,10.77448,
980.22,10.7737844,980.22,10.7739084,
984.176,10.7717534,984.176,10.7766444,
988.132,10.7695374,988.132,10.772119,
992.088,10.7722894,992.088,10.774718,
996.044,10.7729486,996.044,10.7767112,
1000,10.7692168,1000,10.7727202,
